epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
87,3125.14,0.96941,0.64434,1.12336,0.91148,0.81089,0.90467,0.62796,1.02987,0.65606,1.11433,0.0236145,0.0078715,0.0236145,0.0078715,0.0236145,0.0078715,0.0236145,0.0078715
88,3160.7,0.96089,0.63572,1.11605,0.90295,0.82528,0.91013,0.64077,0.99442,0.61967,1.10822,0.0235402,0.00784675,0.0235402,0.00784675,0.0235402,0.00784675,0.0235402,0.00784675
89,3196.32,0.95243,0.63321,1.11081,0.90739,0.84378,0.91666,0.65163,0.97611,0.60895,1.09369,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
90,3231.83,0.92934,0.60694,1.09351,0.90102,0.84198,0.91535,0.64714,1.00538,0.62087,1.11332,0.0233917,0.00779725,0.0233917,0.00779725,0.0233917,0.00779725,0.0233917,0.00779725
91,3267.59,0.9357,0.61238,1.09897,0.90037,0.83589,0.91437,0.63761,1.01505,0.61952,1.11426,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725
92,3304.11,0.958,0.62401,1.11437,0.8894,0.85129,0.90788,0.64042,1.01136,0.6231,1.10863,0.0232433,0.00774775,0.0232433,0.00774775,0.0232433,0.00774775,0.0232433,0.00774775
93,3339.51,0.93533,0.62548,1.1054,0.87506,0.85509,0.9189,0.65157,0.98815,0.60576,1.08964,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
94,3375.46,0.93538,0.62386,1.09792,0.90239,0.852,0.91532,0.648,0.98696,0.60192,1.08837,0.0230947,0.00769825,0.0230947,0.00769825,0.0230947,0.00769825,0.0230947,0.00769825
95,3410.82,0.93483,0.62778,1.10025,0.89967,0.83967,0.91443,0.6469,0.99523,0.61282,1.09662,0.0230205,0.0076735,0.0230205,0.0076735,0.0230205,0.0076735,0.0230205,0.0076735
96,3446.57,0.92998,0.61513,1.09841,0.8829,0.84462,0.91124,0.64553,0.98741,0.60894,1.10419,0.0229462,0.00764875,0.0229462,0.00764875,0.0229462,0.00764875,0.0229462,0.00764875
97,3482.76,0.92179,0.61834,1.10112,0.90994,0.82031,0.91799,0.64644,0.99414,0.60517,1.1045,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
98,3518.73,0.93697,0.61723,1.10428,0.89177,0.8592,0.92038,0.65114,0.98391,0.60252,1.10028,0.0227978,0.00759925,0.0227978,0.00759925,0.0227978,0.00759925,0.0227978,0.00759925
99,3554.93,0.90894,0.60113,1.09257,0.90272,0.85835,0.92308,0.66001,0.97642,0.58036,1.08483,0.0227235,0.0075745,0.0227235,0.0075745,0.0227235,0.0075745,0.0227235,0.0075745
100,3591.07,0.92368,0.61547,1.10369,0.88701,0.86331,0.92525,0.65722,0.97506,0.57831,1.08941,0.0226492,0.00754975,0.0226492,0.00754975,0.0226492,0.00754975,0.0226492,0.00754975
101,3627.28,0.93092,0.5937,1.10013,0.90349,0.85817,0.92699,0.66803,0.96024,0.55488,1.08384,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
102,3663.62,0.91021,0.59851,1.09116,0.89932,0.85373,0.92919,0.66589,0.96747,0.5661,1.07887,0.0225007,0.00750025,0.0225007,0.00750025,0.0225007,0.00750025,0.0225007,0.00750025
103,3699.79,0.9094,0.58562,1.08498,0.91712,0.84156,0.92139,0.66022,0.95961,0.57647,1.0821,0.0224265,0.0074755,0.0224265,0.0074755,0.0224265,0.0074755,0.0224265,0.0074755
104,3735.85,0.90301,0.59131,1.08812,0.8933,0.85612,0.92236,0.66478,0.96522,0.57406,1.08605,0.0223522,0.00745075,0.0223522,0.00745075,0.0223522,0.00745075,0.0223522,0.00745075
105,3772.47,0.91081,0.59638,1.08562,0.89722,0.85227,0.92464,0.65828,0.97377,0.57129,1.09148,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
106,3808.98,0.89696,0.58403,1.08282,0.87258,0.86569,0.92807,0.66563,0.95419,0.56675,1.07842,0.0222038,0.00740125,0.0222038,0.00740125,0.0222038,0.00740125,0.0222038,0.00740125
107,3845,0.90457,0.59176,1.08235,0.89241,0.85612,0.92405,0.65637,0.96903,0.5743,1.08119,0.0221295,0.0073765,0.0221295,0.0073765,0.0221295,0.0073765,0.0221295,0.0073765
108,3881.21,0.8985,0.58826,1.07354,0.89293,0.85708,0.93111,0.66636,0.96023,0.55822,1.06873,0.0220552,0.00735175,0.0220552,0.00735175,0.0220552,0.00735175,0.0220552,0.00735175
109,3917.54,0.89072,0.58287,1.08017,0.90641,0.85098,0.92606,0.6656,0.95268,0.57235,1.06784,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
110,3953.91,0.90047,0.59743,1.08887,0.90437,0.87461,0.93117,0.67165,0.95245,0.55356,1.07175,0.0219067,0.00730225,0.0219067,0.00730225,0.0219067,0.00730225,0.0219067,0.00730225
111,3990.08,0.88125,0.58369,1.08269,0.89645,0.85415,0.92643,0.66809,0.96349,0.55962,1.0769,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775
